flat_id,flat_type,flat_model,storey_range,floor_area_sqm
1,2 ROOM,Improved,10 TO 12,44.0
2,3 ROOM,New Generation,01 TO 03,67.0
3,3 ROOM,New Generation,04 TO 06,68.0
4,3 ROOM,New Generation,01 TO 03,68.0
5,3 ROOM,New Generation,04 TO 06,67.0
6,3 ROOM,New Generation,10 TO 12,67.0
7,3 ROOM,New Generation,07 TO 09,67.0
8,3 ROOM,New Generation,07 TO 09,68.0
9,3 ROOM,New Generation,04 TO 06,73.0
10,3 ROOM,New Generation,07 TO 09,74.0
11,3 ROOM,New Generation,10 TO 12,73.0
12,3 ROOM,New Generation,10 TO 12,82.0
13,3 ROOM,New Generation,07 TO 09,82.0
14,3 ROOM,New Generation,01 TO 03,81.0
15,4 ROOM,New Generation,10 TO 12,92.0
16,4 ROOM,New Generation,07 TO 09,91.0
17,4 ROOM,New Generation,01 TO 03,94.0
18,4 ROOM,New Generation,01 TO 03,92.0
19,4 ROOM,New Generation,01 TO 03,98.0
20,4 ROOM,New Generation,04 TO 06,97.0
21,4 ROOM,New Generation,04 TO 06,92.0
22,4 ROOM,New Generation,04 TO 06,91.0
23,4 ROOM,New Generation,10 TO 12,97.0
24,4 ROOM,New Generation,10 TO 12,99.0
25,4 ROOM,New Generation,10 TO 12,98.0
26,4 ROOM,DBSS,13 TO 15,90.0
27,4 ROOM,DBSS,19 TO 21,91.0
28,4 ROOM,DBSS,22 TO 24,91.0
29,5 ROOM,Standard,01 TO 03,117.0
30,5 ROOM,Improved,13 TO 15,119.0
31,5 ROOM,Improved,19 TO 21,118.0
32,5 ROOM,DBSS,10 TO 12,112.0
33,5 ROOM,Improved,10 TO 12,121.0
34,EXECUTIVE,Apartment,07 TO 09,147.0
35,2 ROOM,Improved,04 TO 06,45.0
36,3 ROOM,Improved,07 TO 09,59.0
37,3 ROOM,Improved,01 TO 03,59.0
38,3 ROOM,Simplified,04 TO 06,63.0
39,3 ROOM,New Generation,10 TO 12,70.0
40,3 ROOM,New Generation,13 TO 15,68.0
41,3 ROOM,Improved,10 TO 12,60.0
42,3 ROOM,Improved,13 TO 15,65.0
43,3 ROOM,Improved,07 TO 09,65.0
44,3 ROOM,Improved,13 TO 15,60.0
45,3 ROOM,Improved,07 TO 09,60.0
46,3 ROOM,Model A,04 TO 06,75.0
47,3 ROOM,Improved,07 TO 09,70.0
48,3 ROOM,Improved,10 TO 12,65.0
49,3 ROOM,Improved,04 TO 06,66.0
50,3 ROOM,New Generation,01 TO 03,82.0
51,3 ROOM,New Generation,04 TO 06,82.0
52,4 ROOM,Simplified,04 TO 06,84.0
53,4 ROOM,Improved,13 TO 15,90.0
54,4 ROOM,Improved,04 TO 06,84.0
55,4 ROOM,Improved,10 TO 12,90.0
56,4 ROOM,Improved,04 TO 06,82.0
57,4 ROOM,Improved,13 TO 15,82.0
58,4 ROOM,New Generation,01 TO 03,91.0
59,4 ROOM,Simplified,07 TO 09,84.0
60,4 ROOM,Simplified,13 TO 15,84.0
61,4 ROOM,New Generation,07 TO 09,92.0
62,4 ROOM,New Generation,04 TO 06,93.0
63,4 ROOM,New Generation,07 TO 09,98.0
64,4 ROOM,New Generation,13 TO 15,91.0
65,4 ROOM,Model A,04 TO 06,104.0
66,4 ROOM,Premium Apartment,04 TO 06,105.0
67,4 ROOM,Model A,13 TO 15,90.0
68,4 ROOM,Model A,07 TO 09,92.0
69,4 ROOM,Model A,10 TO 12,97.0
70,5 ROOM,Improved,01 TO 03,120.0
71,5 ROOM,Adjoined flat,07 TO 09,130.0
72,5 ROOM,Model A,04 TO 06,132.0
73,5 ROOM,Improved,16 TO 18,119.0
74,5 ROOM,Premium Apartment,16 TO 18,115.0
75,5 ROOM,Improved,13 TO 15,122.0
76,5 ROOM,Model A-Maisonette,04 TO 06,137.0
77,5 ROOM,Model A-Maisonette,01 TO 03,139.0
78,5 ROOM,Improved,13 TO 15,112.0
79,EXECUTIVE,Apartment,04 TO 06,143.0
80,EXECUTIVE,Maisonette,01 TO 03,146.0
81,EXECUTIVE,Apartment,10 TO 12,145.0
82,EXECUTIVE,Apartment,10 TO 12,141.0
83,3 ROOM,Improved,10 TO 12,68.0
84,3 ROOM,Simplified,10 TO 12,64.0
85,3 ROOM,Simplified,04 TO 06,64.0
86,4 ROOM,Simplified,04 TO 06,83.0
87,4 ROOM,Simplified,01 TO 03,84.0
88,4 ROOM,Simplified,01 TO 03,83.0
89,4 ROOM,Model A,13 TO 15,108.0
90,4 ROOM,DBSS,34 TO 36,95.0
91,5 ROOM,Model A,04 TO 06,139.0
92,5 ROOM,Improved,01 TO 03,121.0
93,5 ROOM,Improved,07 TO 09,123.0
94,5 ROOM,Improved,22 TO 24,120.0
95,5 ROOM,Improved,07 TO 09,121.0
96,5 ROOM,DBSS,04 TO 06,120.0
97,EXECUTIVE,Maisonette,04 TO 06,146.0
98,EXECUTIVE,Maisonette,04 TO 06,143.0
99,3 ROOM,Simplified,01 TO 03,64.0
100,3 ROOM,Model A,01 TO 03,73.0
101,3 ROOM,New Generation,07 TO 09,69.0
102,3 ROOM,Model A,07 TO 09,73.0
103,3 ROOM,New Generation,01 TO 03,69.0
104,3 ROOM,Model A,04 TO 06,73.0
105,3 ROOM,Model A,10 TO 12,73.0
106,3 ROOM,New Generation,04 TO 06,69.0
107,4 ROOM,Simplified,10 TO 12,84.0
108,4 ROOM,Model A,01 TO 03,103.0
109,4 ROOM,Model A,16 TO 18,102.0
110,4 ROOM,Model A,07 TO 09,103.0
111,4 ROOM,Model A,01 TO 03,100.0
112,4 ROOM,Model A,01 TO 03,104.0
113,4 ROOM,Model A,04 TO 06,103.0
114,4 ROOM,Model A,01 TO 03,107.0
115,4 ROOM,Model A,01 TO 03,108.0
116,4 ROOM,Model A,16 TO 18,92.0
