time_id,month,year,month_num,quarter
1,2017-01,2017,1,1
2,2017-02,2017,2,1
3,2017-03,2017,3,1
4,2017-04,2017,4,2
5,2017-05,2017,5,2
6,2017-06,2017,6,2
7,2017-07,2017,7,3
8,2017-08,2017,8,3
9,2017-09,2017,9,3
10,2017-10,2017,10,4
11,2017-11,2017,11,4
12,2017-12,2017,12,4
13,2018-01,2018,1,1
14,2018-02,2018,2,1
15,2018-03,2018,3,1
16,2018-04,2018,4,2
17,2018-05,2018,5,2
18,2018-06,2018,6,2
19,2018-07,2018,7,3
20,2018-08,2018,8,3
21,2018-09,2018,9,3
22,2018-10,2018,10,4
23,2018-11,2018,11,4
24,2018-12,2018,12,4
25,2019-01,2019,1,1
26,2019-02,2019,2,1
27,2019-03,2019,3,1
28,2019-04,2019,4,2
29,2019-05,2019,5,2
30,2019-06,2019,6,2
31,2019-07,2019,7,3
32,2019-08,2019,8,3
33,2019-09,2019,9,3
34,2019-10,2019,10,4
35,2019-11,2019,11,4
36,2019-12,2019,12,4
37,2020-01,2020,1,1
38,2020-02,2020,2,1
39,2020-03,2020,3,1
40,2020-04,2020,4,2
41,2020-05,2020,5,2
42,2020-06,2020,6,2
43,2020-07,2020,7,3
44,2020-08,2020,8,3
45,2020-09,2020,9,3
46,2020-10,2020,10,4
47,2020-11,2020,11,4
48,2020-12,2020,12,4
49,2021-01,2021,1,1
50,2021-02,2021,2,1
51,2021-03,2021,3,1
52,2021-04,2021,4,2
53,2021-05,2021,5,2
54,2021-06,2021,6,2
55,2021-07,2021,7,3
56,2021-08,2021,8,3
57,2021-09,2021,9,3
58,2021-10,2021,10,4
59,2021-11,2021,11,4
60,2021-12,2021,12,4
61,2022-01,2022,1,1
62,2022-02,2022,2,1
63,2022-03,2022,3,1
64,2022-04,2022,4,2
65,2022-05,2022,5,2
66,2022-06,2022,6,2
67,2022-07,2022,7,3
68,2022-08,2022,8,3
69,2022-09,2022,9,3
70,2022-10,2022,10,4
71,2022-11,2022,11,4
72,2022-12,2022,12,4
73,2023-01,2023,1,1
74,2023-02,2023,2,1
75,2023-03,2023,3,1
76,2023-04,2023,4,2
77,2023-05,2023,5,2
78,2023-06,2023,6,2
79,2023-07,2023,7,3
80,2023-08,2023,8,3
81,2023-09,2023,9,3
82,2023-10,2023,10,4
83,2023-11,2023,11,4
84,2023-12,2023,12,4
85,2024-01,2024,1,1
86,2024-02,2024,2,1
87,2024-03,2024,3,1
88,2024-04,2024,4,2
89,2024-05,2024,5,2
90,2024-06,2024,6,2
