town,street_name,block,location_id
ANG MO KIO,ANG MO KIO AVE 10,406,1
ANG MO KIO,ANG MO KIO AVE 4,108,2
ANG MO KIO,ANG MO KIO AVE 5,602,3
ANG MO KIO,ANG MO KIO AVE 10,465,4
ANG MO KIO,ANG MO KIO AVE 5,601,5
ANG MO KIO,ANG MO KIO AVE 5,150,6
ANG MO KIO,ANG MO KIO AVE 10,447,7
ANG MO KIO,ANG MO KIO AVE 1,218,8
ANG MO KIO,ANG MO KIO AVE 3,571,9
ANG MO KIO,ANG MO KIO AVE 10,534,10
ANG MO KIO,ANG MO KIO AVE 3,233,11
ANG MO KIO,ANG MO KIO AVE 3,235,12
ANG MO KIO,ANG MO KIO AVE 1,219,13
ANG MO KIO,ANG MO KIO AVE 10,536,14
ANG MO KIO,ANG MO KIO AVE 3,230,15
ANG MO KIO,ANG MO KIO AVE 3,570,16
ANG MO KIO,ANG MO KIO AVE 4,624,17
ANG MO KIO,ANG MO KIO AVE 10,441,18
ANG MO KIO,ANG MO KIO AVE 9,625,19
ANG MO KIO,ANG MO KIO AVE 3,119,20
ANG MO KIO,ANG MO KIO AVE 4,255,21
ANG MO KIO,ANG MO KIO AVE 10,432,22
ANG MO KIO,ANG MO KIO AVE 3,211,23
ANG MO KIO,ANG MO KIO AVE 3,584,24
ANG MO KIO,ANG MO KIO AVE 4,118,25
ANG MO KIO,ANG MO KIO AVE 1,333,26
ANG MO KIO,ANG MO KIO AVE 4,256,27
ANG MO KIO,ANG MO KIO AVE 1,330,28
ANG MO KIO,ANG MO KIO AVE 10,557,29
ANG MO KIO,ANG MO KIO AVE 3,302,30
ANG MO KIO,ANG MO KIO AVE 10,575,31
ANG MO KIO,ANG MO KIO AVE 8,509,32
ANG MO KIO,ANG MO KIO AVE 10,472,33
ANG MO KIO,ANG MO KIO AVE 10,475,34
ANG MO KIO,ANG MO KIO AVE 4,629,35
ANG MO KIO,ANG MO KIO AVE 10,546,36
ANG MO KIO,ANG MO KIO AVE 3,131,37
ANG MO KIO,ANG MO KIO AVE 4,254,38
ANG MO KIO,ANG MO KIO AVE 10,470,39
ANG MO KIO,ANG MO KIO AVE 10,463,40
ANG MO KIO,ANG MO KIO AVE 1,207,41
ANG MO KIO,ANG MO KIO AVE 1,304,42
ANG MO KIO,ANG MO KIO AVE 6,646,43
ANG MO KIO,ANG MO KIO AVE 3,328,44
ANG MO KIO,ANG MO KIO ST 52,588C,45
ANG MO KIO,ANG MO KIO ST 52,588D,46
ANG MO KIO,ANG MO KIO AVE 3,101,47
ANG MO KIO,ANG MO KIO AVE 3,430,48
ANG MO KIO,ANG MO KIO AVE 5,520,49
ANG MO KIO,ANG MO KIO AVE 6,716,50
ANG MO KIO,ANG MO KIO ST 52,588A,51
ANG MO KIO,ANG MO KIO AVE 1,310A,52
ANG MO KIO,ANG MO KIO AVE 4,613,53
BEDOK,BEDOK NTH AVE 4,101,54
BEDOK,BEDOK NTH AVE 1,548,55
BEDOK,BEDOK NTH RD,75,56
BEDOK,BEDOK NTH AVE 1,550,57
BEDOK,BEDOK STH AVE 1,1,58
BEDOK,BEDOK RESERVOIR RD,151,59
BEDOK,CHAI CHEE ST,54,60
BEDOK,CHAI CHEE ST,50,61
BEDOK,BEDOK RESERVOIR RD,105,62
BEDOK,BEDOK NTH ST 3,528,63
BEDOK,BEDOK NTH ST 3,534,64
BEDOK,BEDOK NTH RD,77,65
BEDOK,BEDOK RESERVOIR RD,116,66
BEDOK,BEDOK STH RD,18,67
BEDOK,CHAI CHEE AVE,40,68
BEDOK,NEW UPP CHANGI RD,57,69
BEDOK,BEDOK NTH AVE 4,105,70
BEDOK,BEDOK RESERVOIR RD,709,71
BEDOK,CHAI CHEE ST,42,72
BEDOK,CHAI CHEE DR,55,73
BEDOK,BEDOK STH AVE 1,2,74
BEDOK,CHAI CHEE AVE,37,75
BEDOK,BEDOK NTH RD,425,76
BEDOK,BEDOK NTH RD,117,77
BEDOK,BEDOK NTH AVE 1,423,78
BEDOK,BEDOK NTH ST 3,533,79
BEDOK,BEDOK RESERVOIR RD,149,80
BEDOK,BEDOK STH AVE 2,35,81
BEDOK,BEDOK STH RD,42,82
BEDOK,BEDOK STH AVE 2,34,83
BEDOK,BEDOK STH AVE 2,7,84
BEDOK,BEDOK STH AVE 2,8,85
BEDOK,BEDOK NTH RD,80,86
BEDOK,BEDOK NTH RD,78,87
BEDOK,BEDOK RESERVOIR RD,135,88
BEDOK,BEDOK RESERVOIR RD,148,89
BEDOK,BEDOK NTH RD,81,90
BEDOK,BEDOK RESERVOIR RD,142,91
BEDOK,BEDOK NTH RD,124,92
BEDOK,BEDOK NTH RD,705,93
BEDOK,BEDOK NTH ST 3,554,94
BEDOK,BEDOK RESERVOIR RD,602,95
BEDOK,BEDOK NTH AVE 3,508,96
BEDOK,BEDOK RESERVOIR RD,720,97
BEDOK,BEDOK RESERVOIR VIEW,765,98
BEDOK,CHAI CHEE RD,10,99
BEDOK,BEDOK NTH RD,185,100
BEDOK,LENGKONG TIGA,111,101
BEDOK,BEDOK CTRL,220B,102
BEDOK,BEDOK RESERVOIR RD,603,103
BEDOK,CHAI CHEE RD,21,104
BEDOK,JLN DAMAI,672,105
BEDOK,BEDOK NTH AVE 2,415,106
BEDOK,BEDOK RESERVOIR VIEW,763,107
BEDOK,CHAI CHEE RD,805,108
BEDOK,BEDOK RESERVOIR RD,723,109
BEDOK,BEDOK RESERVOIR RD,722,110
BEDOK,BEDOK CTRL,219C,111
BEDOK,BEDOK RESERVOIR RD,640,112
BEDOK,BEDOK STH AVE 3,160,113
BEDOK,BEDOK NTH AVE 4,94C,114
BISHAN,SIN MING RD,22,115
BISHAN,SIN MING AVE,407,116
BISHAN,BISHAN ST 12,105,117
BISHAN,BISHAN ST 13,167,118
BISHAN,BISHAN ST 12,111,119
BISHAN,BISHAN ST 13,181,120
BISHAN,BISHAN ST 13,166,121
BISHAN,BISHAN ST 12,109,122
BISHAN,BISHAN ST 12,115,123
BISHAN,BISHAN ST 22,260,124
BISHAN,BISHAN ST 24,275A,125
BISHAN,BISHAN ST 23,214,126
BISHAN,BISHAN ST 13,182,127
BISHAN,BRIGHT HILL DR,448,128
BISHAN,SIN MING AVE,402,129
BISHAN,BISHAN ST 12,128,130
BISHAN,SHUNFU RD,303,131
BISHAN,BISHAN ST 23,231,132
BISHAN,BISHAN ST 12,134,133
BUKIT BATOK,BT BATOK ST 34,342,134
BUKIT BATOK,BT BATOK ST 51,530,135
BUKIT BATOK,BT BATOK ST 11,145,136
BUKIT BATOK,BT BATOK ST 51,528,137
BUKIT BATOK,BT BATOK ST 52,537,138
BUKIT BATOK,BT BATOK ST 21,213,139
BUKIT BATOK,BT BATOK ST 21,219,140
BUKIT BATOK,BT BATOK EAST AVE 5,235,141
BUKIT BATOK,BT BATOK WEST AVE 6,130,142
BUKIT BATOK,BT BATOK ST 21,212,143
BUKIT BATOK,BT BATOK ST 34,346,144
BUKIT BATOK,BT BATOK CTRL,226,145
BUKIT BATOK,BT BATOK EAST AVE 5,247,146
BUKIT BATOK,BT BATOK WEST AVE 8,169,147
BUKIT BATOK,BT BATOK ST 11,154,148
BUKIT BATOK,BT BATOK EAST AVE 4,260,149
BUKIT BATOK,BT BATOK ST 31,360,150
BUKIT BATOK,BT BATOK ST 21,217,151
BUKIT BATOK,BT BATOK WEST AVE 8,178,152
BUKIT BATOK,BT BATOK EAST AVE 4,265,153
BUKIT BATOK,BT BATOK WEST AVE 6,134,154
BUKIT BATOK,BT BATOK ST 31,301,155
BUKIT BATOK,BT BATOK ST 25,289E,156
BUKIT BATOK,BT BATOK EAST AVE 5,244,157
BUKIT BATOK,BT BATOK EAST AVE 5,248,158
BUKIT BATOK,BT BATOK EAST AVE 3,290D,159
BUKIT BATOK,BT BATOK WEST AVE 5,395,160
BUKIT BATOK,BT BATOK CTRL,642,161
BUKIT BATOK,BT BATOK WEST AVE 6,185,162
BUKIT BATOK,BT BATOK CTRL,106,163
BUKIT BATOK,BT BATOK ST 21,210,164
BUKIT BATOK,BT BATOK WEST AVE 5,386,165
BUKIT BATOK,BT BATOK WEST AVE 5,394,166
BUKIT BATOK,BT BATOK WEST AVE 6,190,167
BUKIT BATOK,BT BATOK ST 21,206,168
BUKIT BATOK,BT BATOK ST 21,211,169
BUKIT BATOK,BT BATOK WEST AVE 5,391,170
BUKIT BATOK,BT BATOK ST 21,205,171
BUKIT BATOK,BT BATOK WEST AVE 6,193,172
BUKIT BATOK,BT BATOK CTRL,624,173
BUKIT BATOK,BT BATOK ST 24,290A,174
BUKIT BATOK,BT BATOK ST 11,141,175
BUKIT BATOK,BT BATOK CTRL,120,176
BUKIT BATOK,BT BATOK ST 25,289A,177
BUKIT MERAH,JLN BT HO SWEE,10,178
BUKIT MERAH,JLN BT HO SWEE,2,179
BUKIT MERAH,TELOK BLANGAH DR,45,180
BUKIT MERAH,BEO CRES,36,181
BUKIT MERAH,TELOK BLANGAH CRES,20,182
BUKIT MERAH,TAMAN HO SWEE,16,183
BUKIT MERAH,TELOK BLANGAH RISE,32,184
BUKIT MERAH,TELOK BLANGAH WAY,33,185
BUKIT MERAH,JLN BT MERAH,142,186
BUKIT MERAH,JLN BT MERAH,131,187
BUKIT MERAH,JLN KLINIK,30,188
BUKIT MERAH,TELOK BLANGAH HTS,63,189
BUKIT MERAH,TELOK BLANGAH HTS,61,190
BUKIT MERAH,BT MERAH VIEW,116,191
BUKIT MERAH,TELOK BLANGAH DR,44,192
BUKIT MERAH,BEO CRES,24,193
BUKIT MERAH,INDUS RD,78,194
BUKIT MERAH,TELOK BLANGAH DR,55,195
BUKIT MERAH,BT MERAH VIEW,130,196
BUKIT MERAH,BT MERAH LANE 1,122,197
BUKIT MERAH,TELOK BLANGAH ST 31,80C,198
BUKIT MERAH,MOH GUAN TER,50,199
BUKIT MERAH,MOH GUAN TER,47,200
BUKIT MERAH,HAVELOCK RD,54,201
BUKIT MERAH,HENDERSON CRES,101,202
BUKIT MERAH,TELOK BLANGAH CRES,23,203
BUKIT MERAH,HENDERSON CRES,106,204
BUKIT MERAH,BT PURMEI RD,115,205
BUKIT MERAH,BT PURMEI RD,108,206
BUKIT MERAH,KIM TIAN RD,129,207
BUKIT MERAH,DEPOT RD,106B,208
BUKIT MERAH,JLN RUMAH TINGGI,38,209
BUKIT MERAH,DELTA AVE,3,210
BUKIT MERAH,JLN BT MERAH,134,211
BUKIT MERAH,TELOK BLANGAH ST 31,80A,212
BUKIT MERAH,JLN MEMBINA,27A,213
BUKIT MERAH,REDHILL RD,75A,214
BUKIT MERAH,REDHILL RD,77A,215
BUKIT MERAH,HAVELOCK RD,57,216
BUKIT MERAH,LENGKOK BAHRU,48,217
BUKIT MERAH,JLN RUMAH TINGGI,35,218
BUKIT MERAH,LENGKOK BAHRU,46,219
BUKIT MERAH,TELOK BLANGAH DR,67,220
BUKIT MERAH,ZION RD,87,221
BUKIT MERAH,DELTA AVE,1,222
BUKIT PANJANG,PETIR RD,214,223
BUKIT PANJANG,PENDING RD,123,224
BUKIT PANJANG,BANGKIT RD,249,225
BUKIT PANJANG,SEGAR RD,458,226
BUKIT PANJANG,JELAPANG RD,506,227
BUKIT PANJANG,SENJA RD,621,228
BUKIT PANJANG,FAJAR RD,402,229
